Data,Concurso,Num 1,Num 2,Num 3,Num 4,Num 5,Num 6
30/11/2022,2544,4,5,30,33,41,52
11/03/1996,1,9,37,39,41,43,49
18/03/1996,2,10,11,29,30,36,47
25/03/1996,3,1,5,6,27,42,59
01/04/1996,4,1,2,6,16,19,46
08/04/1996,5,7,13,19,22,40,47
15/04/1996,6,3,5,20,21,38,56
22/04/1996,7,4,17,37,38,47,53
29/04/1996,8,8,43,54,55,56,60
06/05/1996,9,4,18,21,25,38,57
13/05/1996,10,15,25,37,38,58,59
20/05/1996,11,4,16,19,20,27,43
27/05/1996,12,18,32,47,50,54,56
03/06/1996,13,2,16,23,27,47,53
10/06/1996,14,12,33,35,51,52,60
17/06/1996,15,20,32,34,49,58,60
24/06/1996,16,6,10,13,19,20,51
01/07/1996,17,23,27,36,37,42,56
08/07/1996,18,5,10,12,24,25,60
15/07/1996,19,11,25,28,30,33,51
22/07/1996,20,6,33,36,46,49,53
29/07/1996,21,1,9,31,38,46,56
05/08/1996,22,17,37,39,51,52,59
12/08/1996,23,1,8,14,28,33,43
19/08/1996,24,24,43,50,54,55,56
25/08/1996,25,10,22,50,53,57,58
01/09/1996,26,13,17,20,33,44,51
08/09/1996,27,3,6,22,24,54,60
15/09/1996,28,3,8,14,43,56,58
22/09/1996,29,7,14,15,29,38,50
29/09/1996,30,17,19,28,45,48,56
06/10/1996,31,5,14,33,36,43,44
13/10/1996,32,5,17,33,39,42,49
20/10/1996,33,13,15,17,40,53,57
27/10/1996,34,4,16,21,23,54,57
03/11/1996,35,3,13,17,25,29,51
10/11/1996,36,6,7,22,38,52,60
17/11/1996,37,10,42,43,45,54,55
24/11/1996,38,12,16,37,45,52,56
01/12/1996,39,3,5,8,12,46,47
08/12/1996,40,12,26,35,38,39,47
15/12/1996,41,7,11,19,24,33,36
22/12/1996,42,2,6,17,25,26,58
29/12/1996,43,14,18,29,38,44,47
05/01/1997,44,7,30,37,44,53,55
12/01/1997,45,1,23,24,32,46,60
19/01/1997,46,3,17,25,35,48,56
26/01/1997,47,2,5,28,34,47,50
02/02/1997,48,7,13,33,35,43,55
09/02/1997,49,6,16,21,44,57,58
16/02/1997,50,17,23,24,25,42,47
23/02/1997,51,15,30,38,46,58,59
02/03/1997,52,3,13,16,38,42,46
09/03/1997,53,5,9,18,21,36,56
16/03/1997,54,2,14,23,29,38,52
23/03/1997,55,2,7,20,35,51,59
30/03/1997,56,7,16,17,27,34,59
06/04/1997,57,12,27,30,37,44,49
13/04/1997,58,2,8,13,28,34,54
20/04/1997,59,3,14,15,20,21,38
27/04/1997,60,8,18,29,42,44,59
04/05/1997,61,6,8,13,24,31,52
11/05/1997,62,9,25,26,40,41,49
18/05/1997,63,8,12,23,50,54,60
25/05/1997,64,1,5,20,25,32,34
01/06/1997,65,12,13,15,26,33,48
08/06/1997,66,12,14,17,27,47,52
15/06/1997,67,1,3,12,13,53,59
22/06/1997,68,25,34,45,53,56,58
29/06/1997,69,17,23,27,40,43,58
06/07/1997,70,16,27,33,43,45,53
13/07/1997,71,1,19,34,43,44,48
20/07/1997,72,25,26,28,45,51,57
27/07/1997,73,2,24,34,37,38,50
03/08/1997,74,21,24,35,36,37,49
10/08/1997,75,8,17,18,23,33,53
17/08/1997,76,21,29,40,49,54,57
24/08/1997,77,12,22,25,31,32,46
31/08/1997,78,2,13,17,25,31,43
07/09/1997,79,23,28,37,40,48,51
14/09/1997,80,10,23,41,47,54,60
21/09/1997,81,15,18,29,36,51,53
28/09/1997,82,4,15,16,24,42,57
05/10/1997,83,4,6,10,25,34,40
12/10/1997,84,6,15,30,37,45,47
19/10/1997,85,6,21,22,34,36,54
26/10/1997,86,4,5,11,28,32,40
02/11/1997,87,4,18,29,37,43,45
09/11/1997,88,13,34,42,44,55,59
16/11/1997,89,9,21,26,40,52,54
23/11/1997,90,2,4,10,35,39,60
30/11/1997,91,1,3,5,23,24,51
07/12/1997,92,2,22,28,31,36,53
14/12/1997,93,8,18,28,51,52,55
21/12/1997,94,6,40,45,46,50,60
28/12/1997,95,4,7,26,40,42,58
04/01/1998,96,5,11,14,35,53,56
11/01/1998,97,13,14,31,33,35,43
18/01/1998,98,11,24,30,33,46,60
25/01/1998,99,14,29,30,46,48,51
01/02/1998,100,1,18,29,31,37,39
08/02/1998,101,19,20,37,42,44,56
15/02/1998,102,1,7,9,49,54,57
22/02/1998,103,1,4,13,21,38,52
01/03/1998,104,3,13,31,43,46,49
08/03/1998,105,5,16,24,35,38,39
15/03/1998,106,2,4,16,24,51,52
22/03/1998,107,21,24,29,34,59,60
29/03/1998,108,1,13,44,48,49,54
04/04/1998,109,18,31,43,52,57,58
11/04/1998,110,4,22,25,32,33,52
18/04/1998,111,12,20,34,37,42,43
25/04/1998,112,7,26,28,34,54,55
02/05/1998,113,6,12,18,37,47,54
09/05/1998,114,4,6,14,20,24,38
16/05/1998,115,5,13,32,36,42,51
23/05/1998,116,20,25,27,33,42,53
30/05/1998,117,9,22,25,37,56,57
06/06/1998,118,1,21,36,38,47,50
13/06/1998,119,3,16,27,40,45,46
20/06/1998,120,2,29,41,44,53,55
27/06/1998,121,11,17,20,39,43,53
04/07/1998,122,13,14,16,26,32,42
11/07/1998,123,5,15,34,41,52,57
18/07/1998,124,25,41,47,53,56,59
25/07/1998,125,6,10,11,28,32,40
01/08/1998,126,21,29,50,51,54,59
08/08/1998,127,3,9,18,21,23,43
15/08/1998,128,1,9,10,32,46,54
22/08/1998,129,13,29,38,42,49,53
29/08/1998,130,4,9,17,27,30,44
05/09/1998,131,7,9,35,41,44,50
12/09/1998,132,5,6,19,34,39,57
19/09/1998,133,4,25,32,36,52,60
26/09/1998,134,21,22,35,40,53,59
03/10/1998,135,1,17,25,38,45,59
10/10/1998,136,15,16,19,22,26,49
17/10/1998,137,5,14,27,37,40,41
24/10/1998,138,3,13,26,27,41,42
31/10/1998,139,7,31,41,44,46,55
07/11/1998,140,10,13,22,41,42,58
14/11/1998,141,8,15,19,20,54,59
21/11/1998,142,6,18,20,40,50,53
28/11/1998,143,8,32,36,44,45,55
05/12/1998,144,15,16,31,41,43,51
12/12/1998,145,25,32,34,42,51,60
19/12/1998,146,6,16,23,24,28,38
24/12/1998,147,32,35,41,55,58,59
31/12/1998,148,7,11,20,28,45,48
09/01/1999,149,12,44,50,52,54,55
16/01/1999,150,3,16,20,43,52,56
23/01/1999,151,5,12,15,29,51,58
30/01/1999,152,2,30,31,42,45,47
06/02/1999,153,8,10,24,33,45,48
13/02/1999,154,12,30,32,35,43,44
20/02/1999,155,17,23,42,49,52,55
27/02/1999,156,4,13,17,21,41,44
06/03/1999,157,4,14,17,43,51,58
13/03/1999,158,9,11,16,35,50,58
20/03/1999,159,2,13,42,52,54,58
27/03/1999,160,6,25,30,37,39,41
03/04/1999,161,21,23,33,38,48,51
10/04/1999,162,8,27,36,41,53,56
17/04/1999,163,4,10,14,19,28,44
24/04/1999,164,10,19,23,35,39,56
01/05/1999,165,12,13,22,57,59,60
08/05/1999,166,1,11,28,33,38,48
15/05/1999,167,2,9,31,35,45,50
22/05/1999,168,1,13,21,37,51,52
29/05/1999,169,7,41,46,51,55,58
05/06/1999,170,4,27,40,43,46,54
12/06/1999,171,10,14,26,35,36,49
19/06/1999,172,17,28,29,42,49,50
26/06/1999,173,11,22,23,36,52,59
03/07/1999,174,1,10,13,20,42,50
10/07/1999,175,1,3,4,28,45,53
17/07/1999,176,22,35,38,39,41,59
24/07/1999,177,5,15,19,26,27,33
31/07/1999,178,5,6,23,26,27,53
07/08/1999,179,6,23,29,39,51,60
14/08/1999,180,1,27,33,35,51,55
21/08/1999,181,3,5,10,28,46,60
28/08/1999,182,2,7,11,16,40,44
04/09/1999,183,9,16,21,34,41,60
11/09/1999,184,17,22,43,46,55,59
18/09/1999,185,14,23,24,25,26,51
25/09/1999,186,6,36,41,44,48,58
02/10/1999,187,17,27,34,42,43,46
10/10/1999,188,4,15,31,38,41,53
16/10/1999,189,5,10,21,32,40,42
24/10/1999,190,1,3,5,23,41,58
31/10/1999,191,1,26,28,41,54,60
06/11/1999,192,4,11,12,19,43,49
13/11/1999,193,25,28,32,33,42,43
20/11/1999,194,3,9,17,32,37,44
27/11/1999,195,7,9,14,17,24,32
04/12/1999,196,5,12,15,19,29,52
11/12/1999,197,5,12,18,23,35,40
18/12/1999,198,10,16,37,50,52,57
24/12/1999,199,12,15,19,34,44,51
31/12/1999,200,5,20,22,30,35,55
08/01/2000,201,12,24,44,45,49,53
15/01/2000,202,11,19,29,44,47,55
22/01/2000,203,29,31,39,41,51,58
29/01/2000,204,26,32,40,43,46,54
05/02/2000,205,18,20,26,34,51,56
12/02/2000,206,3,7,19,24,53,55
19/02/2000,207,15,23,24,25,47,57
26/02/2000,208,13,21,26,32,41,52
04/03/2000,209,20,32,37,38,48,58
11/03/2000,210,10,20,33,40,45,50
18/03/2000,211,6,15,29,45,57,59
25/03/2000,212,3,9,23,30,32,35
01/04/2000,213,6,12,30,31,35,50
08/04/2000,214,7,28,37,46,53,58
15/04/2000,215,14,18,30,35,42,59
22/04/2000,216,3,27,32,45,49,51
29/04/2000,217,12,17,40,42,47,54
06/05/2000,218,23,26,28,36,42,49
13/05/2000,219,13,14,36,53,55,60
20/05/2000,220,13,27,43,50,54,58
27/05/2000,221,5,19,30,48,52,55
03/06/2000,222,2,6,22,24,28,58
10/06/2000,223,7,16,18,20,21,44
17/06/2000,224,2,4,16,21,37,58
24/06/2000,225,1,2,38,49,50,59
01/07/2000,226,11,26,27,37,42,48
08/07/2000,227,13,16,40,43,45,59
15/07/2000,228,11,13,21,33,39,45
22/07/2000,229,8,40,41,44,53,56
29/07/2000,230,16,27,36,42,44,59
05/08/2000,231,19,22,29,37,41,59
12/08/2000,232,3,7,24,32,36,45
19/08/2000,233,15,25,41,42,45,54
26/08/2000,234,2,22,29,31,41,55
02/09/2000,235,10,25,50,52,57,60
09/09/2000,236,7,31,36,45,56,57
16/09/2000,237,9,13,15,37,41,42
23/09/2000,238,6,21,33,44,46,47
30/09/2000,239,25,28,38,41,57,59
07/10/2000,240,11,31,35,40,56,57
14/10/2000,241,4,7,21,22,28,56
21/10/2000,242,11,16,20,23,32,47
28/10/2000,243,19,24,33,47,50,60
04/11/2000,244,8,27,44,51,53,60
11/11/2000,245,2,16,32,37,43,57
18/11/2000,246,3,10,23,30,34,46
25/11/2000,247,16,32,34,35,41,56
02/12/2000,248,21,36,40,49,54,55
09/12/2000,249,7,25,41,42,43,55
16/12/2000,250,15,23,30,34,49,55
23/12/2000,251,4,17,26,32,51,54
30/12/2000,252,11,12,24,37,44,56
06/01/2001,253,1,4,21,22,30,56
13/01/2001,254,16,19,20,32,44,55
20/01/2001,255,2,21,26,32,34,52
27/01/2001,256,1,4,5,19,28,34
03/02/2001,257,7,12,50,54,55,60
10/02/2001,258,13,15,20,33,43,58
17/02/2001,259,4,6,33,43,59,60
24/02/2001,260,5,16,20,30,54,56
03/03/2001,261,11,20,48,53,58,60
10/03/2001,262,8,9,26,43,50,53
17/03/2001,263,1,5,13,25,31,33
24/03/2001,264,7,16,34,41,50,53
31/03/2001,265,2,23,38,46,48,54
07/04/2001,266,1,8,45,46,55,58
14/04/2001,267,5,6,10,21,33,47
21/04/2001,268,17,18,19,25,49,52
28/04/2001,269,5,9,27,35,40,45
05/05/2001,270,14,24,26,29,31,54
12/05/2001,271,9,10,24,36,56,58
19/05/2001,272,10,17,23,27,47,52
26/05/2001,273,11,13,18,26,39,47
02/06/2001,274,16,19,30,37,38,48
09/06/2001,275,22,39,45,53,57,59
16/06/2001,276,4,26,38,40,52,56
23/06/2001,277,10,15,18,22,31,55
30/06/2001,278,4,23,31,47,58,59
07/07/2001,279,5,16,20,25,30,58
14/07/2001,280,5,11,31,38,47,53
21/07/2001,281,9,14,23,24,33,36
28/07/2001,282,25,28,34,42,48,54
01/08/2001,283,7,8,14,30,32,36
04/08/2001,284,12,32,37,41,50,56
08/08/2001,285,29,35,37,44,47,56
11/08/2001,286,3,13,25,33,47,60
15/08/2001,287,6,9,11,17,18,50
18/08/2001,288,6,7,20,25,30,36
22/08/2001,289,7,25,26,30,40,57
25/08/2001,290,5,16,17,18,22,41
29/08/2001,291,13,23,24,34,45,53
01/09/2001,292,5,6,7,12,28,35
05/09/2001,293,22,25,28,41,45,57
08/09/2001,294,7,12,24,31,44,50
12/09/2001,295,3,20,42,46,51,52
15/09/2001,296,1,20,28,33,36,41
19/09/2001,297,5,22,23,24,34,60
22/09/2001,298,2,5,7,33,49,53
26/09/2001,299,24,27,28,38,41,57
29/09/2001,300,9,26,48,49,57,58
03/10/2001,301,12,25,30,40,41,60
06/10/2001,302,7,13,17,30,37,47
10/10/2001,303,7,11,34,41,42,59
13/10/2001,304,5,11,27,38,53,60
17/10/2001,305,19,30,41,47,56,57
20/10/2001,306,13,16,17,26,41,44
24/10/2001,307,4,11,25,29,39,55
27/10/2001,308,4,11,25,39,50,55
31/10/2001,309,2,14,28,29,31,32
03/11/2001,310,22,24,30,32,38,41
07/11/2001,311,14,23,30,41,47,50
10/11/2001,312,14,16,24,37,38,53
14/11/2001,313,5,32,34,37,40,58
17/11/2001,314,12,21,22,28,43,50
21/11/2001,315,6,24,28,43,51,56
24/11/2001,316,16,20,27,30,35,48
28/11/2001,317,3,19,20,31,40,53
01/12/2001,318,12,16,17,19,23,48
05/12/2001,319,20,22,27,47,50,53
08/12/2001,320,4,11,31,32,48,49
12/12/2001,321,11,18,29,44,47,56
15/12/2001,322,26,31,33,40,49,54
19/12/2001,323,8,15,22,25,30,47
22/12/2001,324,1,3,4,21,23,53
29/12/2001,325,21,23,40,44,51,52
05/01/2002,326,29,32,33,38,46,48
09/01/2002,327,5,7,14,21,23,51
12/01/2002,328,10,11,12,24,35,40
16/01/2002,329,2,4,14,23,37,51
19/01/2002,330,1,13,20,27,35,37
23/01/2002,331,23,28,29,34,42,44
